,用户名称,用户性别,用户id,vip等级,用户评论,评论点赞次数,评论时间
0,屏幕后面是猛男,女,18509972,5,作为小人头像来说，up主画的很好。但如果是奥运冠军，确实没什么辨识度，很多男运动员感觉就是同一个人的多个角度。我没有关注所有的比赛，就拿我比较喜欢的张雨霏和全红婵来说吧：1.说到张雨霏，应该大部分人和我一样都会想到她标志性的笑容，建议抓住这个特征。2.就不说别的了，你既然画红姐能不能把人嘴角的那么大一颗痣画上[疑惑][疑惑]这点真的让我很生气，很难不怀疑up在蹭热度。,18,1628573928
0,藕姬桑,保密,2385298,6,评论难道这年头只能吹不能觉得不行吗[tv_白眼]，觉得画的不好就是不好，我有留评论的权利，你夸也有夸的权利，堵上人的嘴不让批评只能夸是什么现代互联网风气,10,1628499223
0,姜姣月,女,272795081,5,若批评不自由，啧赞美无意义,79,1628480053
0,257222,保密,242593758,4,根本不像,6,1628578927
0,14521519,女,184600437,5,那些说up蹭热度的，无非就是后悔自己怎么没想到这个“蹭热度”的好点子呢？然而你又怎么知道，up并不是真的热爱中国的每一个奥运冠军，而一定就是抱着蹭热度的想法制作的视频呢？无非就是酸了吧[doge],19,1628470745
0,饱没饱,保密,671423976,4,这个评论区就特别考验情商和能不能管住自己的嘴以及会不会说话我觉得。你觉得画的好，但不能吹太过，吹过了就有几个要挑刺，挑着挑着就要吵架。你觉得画的不行，那也不能说的太过，不然就被说“你又懂完了？”，“期待您的新作”。所以最好的办法就是少说话，多看视频。觉得真的有缺点的我建议你私信告诉阿婆主，或者自己动手整一个更好的，让大家都心服口服，这是最不会起争执的办法。另外你觉得画的好那就少看那些让你心里不舒服的言论，可以评论夸夸阿婆主，也可以发私信鼓励。（这是我觉得可以避免吵架的最好的办法，我也不想阿婆主辛苦画的画结果下面评论区都在吵架[抱拳][抱拳][抱拳]）,9,1628487264
0,seesee11111,保密,385525473,5,侯，不是候。写错人家姓可不太礼貌,48,1628469349
0,凪鸳会折纸鸢,保密,38525769,5,不会吧不会吧.评论区不会觉得人人都是艺术带师吧.,8,1628572854
0,添墨,保密,5883327,5,我也不是很想杆的，看得出画功很好但不看字根本认不出是谁，你说只画脸难表现，也不至于十来岁和三十来岁的人都一样的表情特点吧。是画少年少女太多了吧，个个看上去都一脸的稚气。像李雯雯全红婵这些那么有特点都没画出来。,167,1628434577
0,亚蒂赛高,保密,59996116,5,奥运会也要饭圈化了？（指弹幕）,33,1628470007
0,月亮飞飞鱼,保密,29513716,5,希望up别用红笔写别人名字了，虽然本意是好的，但是确实有点不尊重人，毕竟用红笔写名字含义不是很好。,461,1628441672
0,春日原野_,女,1977320852,3,画了要求还那么高呗……怎么着不是打印机还不允许画画了？有些人嘴里说着什么提建议语气已经在喷了,14,1628477425
0,木南说说-,女,479399637,4,BGM: I'M a wanted man 嘿嘿自己不知道搜到了就分享出来啦～,15,1628428233
0,君赫宸,男,500596488,3,回复评论区 小李写立可白 不能用红笔写人名的原因出于忌讳。1 古时候红笔是用来记录一些嫌犯罪行或者是给死刑画押。2 过去皇帝批奏折，是用朱红色的笔来指示，称为朱批。除皇帝以外，其他人是不能用朱红色作批示的。（跟只有皇帝能说朕别人不行一样，现在这点没有了）现在也就只有老师在修改试卷或是记录的时候才会用红笔，一般情况下还是不会用的。（个人感觉用红笔写字情况都不多）3 写信不能用红色笔写的说法，因为红字又代表断交。（我特意又上网搜索复制来的）这些东西叫迷信？叫糟粕？你可以不信可以无所谓，这是你的自由，但是说奇葩古早玄学就过分了好吧，？？！,7,1628616799
0,疯一样的勇士,保密,547775,6,辛苦了，但一点都没抓住精髓。,85,1628435404
0,帆小姐姐_,女,686880765,4,当代网友是真的能杠,11,1628493251
0,刻刻十十十,保密,142306589,5,说实话，我觉得全长得一样[呆],36,1628483586
0,冷酷的黑貓,男,27477095,5,就硬蹭,16,1628505062
0,lemon--J,保密,381946082,4,提个小小建议，能把名字颜色改成蓝色或者其他颜色吗，我们老师说名字不能用红色笔写，画是真好看很喜欢呐[捂眼],2289,1628401584
0,意片小树林,保密,356151184,4,UP主画的人物画的特别好看，唯一的缺点可能就是与本身人物不太像[笑哭][笑哭]希望UP主越来越好[给心心][给心心],651,1628420453
0,JanlenOMG,男,259784205,5,说实话，不写名字的话，没一个认出来,40,1628466312
0,缘-溪行,保密,195140903,5,每个运动员都画得挺漂亮，但是后面的运动员辨识度不够(一部分原因是我没记住他们所有人的脸，但是一些我熟悉的面孔画得也没什么辨识度)。晚一天发视频热度可能会掉一大半，早点发视频早点恰流量可以理解，但也希望你能意识到自己的不足，加油。,54,1628488977
0,简简zero,保密,480474150,4,[藏狐]一样的藐视，很好看就是缺了点运动员的个人特色，是不是人多就必须得这么统一的脸,534,1628430203
0,慕斯不不不吃慕斯,女,553222834,4,up画的还不错哦！但是大家都长得差不多，希望可以后期再修改一下（评论区有些人嘴巴干净一点，评论语气那么臭干嘛[无语]）,16,1628499805
0,我在山里修飞机,男,422463355,4,只有我觉得每个人画的都差不多吗？,66,1628457976
0,为什么老有昵称已存在,保密,393691134,4,还是别用红笔写名字了吧，这是忌讳，我小学这样干过被家长说了[笑哭]虽然不推崇封建迷信但是别被人误会了,16,1628507373
0,冰山的阴影_,保密,442983593,5,画的其确实好看，但怎么感觉一个模子出来的的，不写名字感觉都一样,30,1628443973
0,宏观条空,保密,8292106,5,如果不写名字完全认不出来,46,1628436247
0,前高后低的车,男,291229743,5,红笔写名字不太好吧[抱拳],6,1628485242
0,逆回的鲨鱼,男,22214947,6,yysy，这几天刷到多少个这样，摁二次元奥运健儿的视频，之前那个勉强还有个杨倩能分辨出来，这个就纯纯的一个分辨不出来,31,1628481223
0,RF822500,保密,277125321,5,说真的，人物画得毫无辨识度，对于运动员们的面部特征把握得并不到位。但up有心去画倒是很好的。,35,1628442298
0,骑自行车的善人,男,384644558,4,画完之后我一个都不认识。,18,1628426923
0,布偶没有猫,保密,1910085538,3,虽然up主画了很“拽”的奥运健儿，但是请不要忘记，他们的成功背后是高强度压力和艰苦的训练,24,1628472465
0,W晴百万W,保密,65805347,5,画工是比较仍可的先点个赞，但是每位运动员的肖像特征没有突出出来，说白了，都差不多一个样[藏狐]。,71,1628441396
0,楚家公子少年郎,保密,25267355,5,就不能干脆夸夸阿婆吗，瑕不掩瑜，我觉得阿婆画了这么多奥运冠军就不能单纯为人家叫个好嘛！帅的一批,25,1628433362
0,丫ggdrasil,男,71565250,5,侯和候是不一样哒！侯用作姓，还有侯爵，hou发二声。候一般为时候、气候，动词等候，hou发四声。别问我为什么知道，我也姓侯，经常被写错名字。[脱单doge][脱单doge][脱单doge],9,1628439901
0,nokonoko-spell,保密,517045049,4,幼儿园头&克隆人,21,1628442570
0,乘着风飞吧爱之歌,男,34340977,5,感觉你可以说谁就是谁[喜极而泣]，反正和本人也不像，只是画自己的画而已[吃瓜],18,1628448264
0,強尼银手,男,8601118,6,太去特点化了。,19,1628482218
0,晴豆妈在努力,保密,63867462,5,红姐下巴少了一颗痣啊！！！！,12,1628479571
0,呜--哇,保密,106547804,5,弹幕里刷“众神归位”的可以停了，不要造神，不要把运动员们神话[辣眼睛][辣眼睛][辣眼睛],4,1628858518
0,鎮國大白菜,保密,416056291,5,说实话辨识度不高，但是up有心画这个就非常好了,11,1628478894
0,伊藤ハチdesu,保密,42381534,5,不加名字都看不出谁是谁[藏狐],26,1628432965
0,女烬送人头,保密,35963714,6,红色写人名是不是不太好[初音未来_害怕],10,1628506598
0,晏如自终,保密,364661474,5,我看评论有点太抬高up，太贬低观众了。都忘了自己也是观众，扼杀自己的权利。,4,1628520840
0,电饭煲是各方的,保密,357469729,4,感觉都一张脸,16,1628443025
0,哎呀噜哩,女,488597855,4,有一说一，不太像,13,1628439246
0,慵慵桃,保密,163082722,5,脸是真的像啊，每个人没有什么特色来着……,15,1628480813
0,mo0om,女,14593808,5,UP主画的很好[打call]提个小建议！不要拿红色的笔写人名字（因为只有墓碑上的名字是红色的，对活着的人用红色写名字很不尊重）有一部分敏感的人很忌讳这个，希望UP主能注意一下？,11,1628501361
0,ID都被注册了是什么鬼,男,475509454,5,up主好歹动手画了，围观群众看看就好，太苛刻的评论没必要吧[藏狐]端水也没问题啊，一上来就鸡蛋里挑骨头[捂脸],24,1628441342
0,炸裂我,男,517086487,4,长相有什么不同之处吗？相同性别都是一个脸,211,1628430680
0,马小远xk,保密,630848542,3,全长一个样子,64,1628427534
0,浦豆豆,男,1311183,6,画得确实好看，但为啥都是大眼高鼻梁欧美人轮廓呢,13,1628448224
0,bilbil丶殇大大白,男,485585820,4,可惜了苏炳添苏神，在一个竞争力极大的短跑赛场上，无法拿到金牌，包括4×100的其他队员，但苏神创造了亚洲纪录和第一位进入100m决赛的黄种人，对于决赛只能是可惜了，回复不够[打call],3,1629005566
0,用心感化丧尸队友,保密,19765392,5,张家齐没那味，而且不写名字看不出谁是谁。,7,1628482642
0,南宫宫宫宫_,女,88810240,5,怎么还在因为用红笔写名字的事吵，那我来说一下。首先，可能你那个地方忌讳用红笔写名字，但是，很明显up那个地方不忌讳啊，我这里也不忌讳的，从小到大老师，同学，包括自己有时候也用红笔写名字，都没听过这种说法。好，既然有忌讳这个的人，和不忌讳这个的人，那么，忌讳的人何必在一个不忌讳的人的视频下面吵得那么凶（善意提醒没问题）。你忌讳也不至于让不忌讳的人怼别人脸上写红名吧（指某些极端的）还有在评论掰扯历史的，我说差不多算了，大家的想法都不一样，何必呢。忌讳的人有他们当地的风俗，我们不忌讳的听听就算了。另外，既然存在着忌讳红名的人，up以后也要注意一下哦，照顾照顾他们。加油[小电视_太太喜欢],3,1629019917
0,朽灵瑞玄,男,670477655,3,画得还行，但是辨识度太低了，不写名字根本看不出来谁是谁,3,1628780566
